id;date_facture;total_ht;total_tva;total_ttc;total_remise;total_net;timbre_fiscale
1;2021-02-25T20:55:37;70969;48312;17772;95037;98927;false
2;2021-02-26T08:28:46;4307;42695;60217;6854;20963;false
3;2021-02-26T19:53:03;17630;16149;46175;33041;52769;true
4;2021-02-26T17:45:17;44604;35327;55754;57447;5109;true
5;2021-02-26T09:05:01;81147;21648;96652;69236;71220;false
6;2021-02-26T19:22:39;86986;87618;60506;35510;78057;false
7;2021-02-26T14:07:30;49706;33782;52790;77417;6185;false
8;2021-02-26T19:02:38;35969;44724;78564;46966;34545;false
9;2021-02-26T05:51:45;70703;62074;50028;93775;77782;true
10;2021-02-26T04:55:01;13931;30004;29334;43736;32348;true
