id;date_facture;total_ht;total_tva;total_ttc;total_remise;total_net;timbre_fiscale
1;2021-02-26T19:27:23;791;1356;64194;91274;74980;false
2;2021-02-25T20:21:17;63478;83219;41922;63442;17201;true
3;2021-02-26T12:43:36;9973;33772;74902;66257;57235;false
4;2021-02-25T23:34:06;51257;95688;80164;80080;15483;false
5;2021-02-26T12:12:03;17531;93535;39144;20309;55129;true
6;2021-02-26T15:21:03;76782;23330;25569;55799;56757;false
7;2021-02-26T03:13:35;25361;77000;56565;53173;18880;false
8;2021-02-25T20:58:59;93095;76161;29370;96389;38948;true
9;2021-02-26T00:00:24;63042;37772;41479;55099;87054;false
10;2021-02-26T07:14:07;82745;41809;30515;39211;27490;true
