id;date_mvt;type_mvt;qte_mvt;ancien_qte;nv_qte;ancien_prix;nv_prix;prix
1;2021-02-26T07:26:02;ACHAT;90998;46423;53890;81608;43731;88175
2;2021-02-26T13:56:13;VENTE;8493;34241;21265;6256;64114;77275
3;2021-02-26T01:53:42;VENTE;20169;63583;97990;74785;87522;4492
4;2021-02-26T12:29:00;VENTE;17943;16456;41605;37274;33205;47773
5;2021-02-26T15:23:56;ACHAT;71915;43081;62757;48556;35125;41120
6;2021-02-26T03:49:07;INVENTAIRE;9821;702;29264;24358;38657;89572
7;2021-02-26T16:50:46;ACHAT;9572;74599;53504;86619;92573;71568
8;2021-02-25T21:52:52;ACHAT;16986;95628;32129;34297;94508;68961
9;2021-02-26T14:22:39;VENTE;7491;34080;61388;58435;75520;19458
10;2021-02-25T21:23:09;ACHAT;5018;48183;45125;31965;28249;67223
