id;nom;description;prix_achat;prix_vente;qte_stock;marge;type_marge
1;conglomeration Marketing solutions;Health Future Grocery;76924;25541;82805;51278;PRIX_FIXE
2;Movies Division;Trafficway auxiliary Myanmar;91188;45380;91449;86195;POURCENTAGE
3;Fantastic Plastic Shirt;calculate sexy;17761;60778;63084;16952;POURCENTAGE
4;back up;Sleek Fresh Cheese Facilitator;64198;15745;9275;46806;PRIX_FIXE
5;non-volatile Buckinghamshire;hack SMTP;36719;30088;11163;3019;POURCENTAGE
6;bypass;Field;44535;91660;16196;94807;POURCENTAGE
7;HDD Multi-channelled;supply-chains;21539;32056;42158;2242;POURCENTAGE
8;Soft Keyboard;Frozen Chair;6710;33255;8089;23045;POURCENTAGE
9;background Polarised Pants;quantify Music Surinam Dollar;49704;59545;50030;20166;POURCENTAGE
10;Keyboard;Auto Loan Account strategize grow;97003;38238;48709;93810;PRIX_FIXE
